So'z                 | Chastota (marta)
dahasigacha          | 2         
sasha                | 2         
qilmaganliklarini    | 2         
musiqachi            | 2         
syurixda             | 2         
o'tkazishmagan       | 2         
leytenantlari        | 2         
radiosiga            | 2         
energetikasiga       | 2         
jasoratlari          | 2         
emasliklarini        | 2         
zo'rlashlar          | 2         
deportatsiyalar      | 2         
bellettini           | 2         
saint                | 2         
laurant              | 2         
tayinlangach         | 2         
mottli               | 2         
sherri               | 2         
rehman               | 2         
g'alabalarni         | 2         
etarlicha            | 2         
tanklarni            | 2         
attashe              | 2         
qqsdan               | 2         
jshods               | 2         
aos                  | 2         
kembrijda            | 2         
surrey               | 2         
murs                 | 2         
zilzilada            | 2         
vayronagarchiliklarga | 2         
tuikning             | 2         
ko'rishdir           | 2         
berik                | 2         
qoldirgani           | 2         
o'tkazilgach         | 2         
yaxshiliqovni        | 2         
kooperasiya          | 2         
kaltaklashini        | 2         
stereotiplar         | 2         
kengaytirishdir      | 2         
sulayimning          | 2         
avtohalokatda        | 2         
autosport            | 2         
yas                  | 2         
intilmadi            | 2         
mohammed             | 2         
ralli                | 2         
fiani                | 2         
bandni               | 2         
ahrorbek             | 2         
sotsiologiyasidan    | 2         
dissertatsiyasini    | 2         
saratonga            | 2         
yasaladi             | 2         
jazmani              | 2         
iltimosni            | 2         
nolimaydi            | 2         
yumushlaridan        | 2         
qahramondek          | 2         
turanning            | 2         
teleradiokanallari   | 2         
tokayev              | 2         
lavozimlaridir       | 2         
aktyorlari           | 2         
ta'riflagan          | 2         
byerdeni             | 2         
otishmani            | 2         
bolalardan           | 2         
kirakash             | 2         
xoning               | 2         
arziyev              | 2         
kolxozchi            | 2         
yetkazdik            | 2         
ekamiz               | 2         
ishlashimga          | 2         
bo'lishmadi          | 2         
ustachilik           | 2         
qaraganiga           | 2         
opajon               | 2         
qo'yishimni          | 2         
qilganim             | 2         
nomimdan             | 2         
sanobarxon           | 2         
kiriboq              | 2         
qilgandingiz         | 2         
rahbarlarimiz        | 2         
bo'lyapman           | 2         
ishlaganim           | 2         
ravshanova           | 2         
folloverlariga       | 2         
tabriklagani         | 2         
turdiyeva            | 2         
almashilgan          | 2         
londonliklarni       | 2         
vakillarida          | 2         
serj                 | 2         
to'xtatmoqda         | 2         
rayhona              | 2         
boshqarmalarining    | 2         
aksiyadan            | 2         
namangandagi         | 2         
noxomashyo           | 2         
qoplamasining        | 2         
eksportchilarga      | 2         
olamushuk            | 2         
mo'rtligi            | 2         
davridagida          | 2         
parkini              | 2         
pentagonga           | 2         
avtouyga             | 2         
avtouy               | 2         
uelsdagi             | 2         
qirg'oqdagi          | 2         
shaharchada          | 2         
avtouyda             | 2         
karavot              | 2         
pech                 | 2         
sayohatiga           | 2         
iker                 | 2         
kasilyas             | 2         
ychl                 | 2         
yakunlamoqda         | 2         
shalpangquloq        | 2         
rejissorlar          | 2         
semiz                | 2         
komedik              | 2         
qahramonlarni        | 2         
oyimcha              | 2         
diana                | 2         
kuper                | 2         
rollarini            | 2         
komediyalari         | 2         
qahramonni           | 2         
qichqiradigan        | 2         
suvdagi              | 2         
malikasi             | 2         
xazinasiga           | 2         
sharpasi             | 2         
talqinidagi          | 2         
mag'rur              | 2         
qomati               | 2         
o'zgarmaganini       | 2         
personaj             | 2         
psixopat             | 2         
obrazda              | 2         
dramalarga           | 2         
jalil                | 2         
portidan             | 2         
ko'pdek              | 2         
geran                | 2         
gruziyadagi          | 2         
tjm                  | 2         
gulzorlar            | 2         
qolgansir            | 2         
sholikor             | 2         
sindorobod           | 2         
sholidan             | 2         
qatlamidagi          | 2         
boniteti             | 2         
agmashenebeli        | 2         
qo'llaganidan        | 2         
panjaralarni         | 2         
yo'naltirilgandi     | 2         
shvedcha             | 2         
boshlamagan          | 2         
quvonamiz            | 2         
flagman              | 2         
bo'lishdir           | 2         
minbariga            | 2         
mestre               | 2         
eduardo              | 2         
rivojlanayotganiga   | 2         
rubio                | 2         
forumlarini          | 2         
fakultetlararo       | 2         
jo'natdik            | 2         
fulvio               | 2         
martushello          | 2         
dilyor               | 2         
jipslashtirish       | 2         
ajdodlarimizni       | 2         
birlashmalarini      | 2         
mehridaryo           | 2         
azizlarni            | 2         
go'zalliklarini      | 2         
o'tganlaridek        | 2         
odoblari             | 2         
zebuniso             | 2         
otin                 | 2         
bittadir             | 2         
tilagim              | 2         
omadlar              | 2         
shodu                | 2         
xurramlik            | 2         
eroziyasidan         | 2         
ruslanbek            | 2         
davletov             | 2         
dinlararo            | 2         
tendensiyasini       | 2         
chjon                | 2         
chellenji            | 2         
varshavada           | 2         
eurogospodarka       | 2         
trybuna              | 2         
bildirilishi         | 2         
qonuniylikka         | 2         
drishel              | 2         
abdurahmonova        | 2         
eshpo'latova         | 2         
odina                | 2         
tojiboyeva           | 2         
qomusga              | 2         
xalqingiz            | 2         
quchoq               | 2         
olishganini          | 2         
brest                | 2         
damlarini            | 2         
turganiga            | 2         
nishonlashi          | 2         
qiyinchilikni        | 2         
insonparvarlikka     | 2         
diasporasi           | 2         
amirsaid             | 2         
tokiodagi            | 2         
elchixonada          | 2         
qo'shilgani          | 2         
ala                  | 2         
vazifalaridir        | 2         
quchgan              | 2         
richining            | 2         
qochqinlarning       | 2         
kechiryapti          | 2         
majburlangan         | 2         
barlar               | 2         
ta'minlashadi        | 2         
senegallik           | 2         
nasri                | 2         
o'tayotgandi         | 2         
sukutni              | 2         
arabistonini         | 2         
qolmaysizlarmi       | 2         
qilamizmi            | 2         
bittama              | 2         
deputatlarga         | 2         
minbarga             | 2         
xilligiga            | 2         
zararlandi           | 2         
turlarning           | 2         
tasdiqlansin         | 2         
memorandumning       | 2         
blokladi             | 2         
amaldorlariga        | 2         
fergyuson            | 2         
qilishgandi          | 2         
pandemiyaning        | 2         
rasmiylardan         | 2         
kundirki             | 2         
mitingga             | 2         
noroziliklari        | 2         
tarqatgandi          | 2         
buzganliklari        | 2         
ogohlantirishlarga   | 2         
bildirilishiga       | 2         
dxsh                 | 2         
maslahatlari         | 2         
yordamlarga          | 2         
xmk                  | 2         
sidiqov              | 2         
kuchaytirishdan      | 2         
sabzavotlarning      | 2         
shahboz              | 2         
tasvirlaridan        | 2         
harakatsizlik        | 2         
tartibsizliklarda    | 2         
tengega              | 2         
ko'tarilganidan      | 2         
hodisalarining       | 2         
mototsikllar         | 2         
mingtasini           | 2         
uchirdi              | 2         
texasdagi            | 2         
parashyutlar         | 2         
uchirilishi          | 2         
uzoqlik              | 2         
tasdiqlanganligi     | 2         
niqobini             | 2         
qilishganda          | 2         
shokirjonov          | 2         
xolalar              | 2         
lokomotivi           | 2         
jitomir              | 2         
lvov                 | 2         
yubormasligini       | 2         
cheklarni            | 2         
bobga                | 2         
depozitlari          | 2         
unsiyasi             | 2         
hasharida            | 2         
garmoshkali          | 2         
qo'mitadan           | 2         
ma'ruzani            | 2         
qarzining            | 2         
axadbek              | 2         
indeksidagi          | 2         
zaiflik              | 2         
qo'mitalarining      | 2         
to'rttasidan         | 2         
hokimiyatchiligini   | 2         
qo'mitalarning       | 2         
equinox              | 2         
bekar                | 2         
qutqaruvchilarni     | 2         
dinamikani           | 2         
qoratepa             | 2         
yodgorliklarini      | 2         
yoritilishini        | 2         
rezolutsiyasi        | 2         
partiyalarda         | 2         
xohlamagani          | 2         
asabiylashish        | 2         
na'matak             | 2         
kompress             | 2         
kompressni           | 2         
texnoparkning        | 2         
ijodkorning          | 2         
utair                | 2         
hujumchilaridan      | 2         
tushaman             | 2         
poezdlar             | 2         
ajralishini          | 2         
bargini              | 2         
ichaklar             | 2         
kyodo                | 2         
psixiatrik           | 2         
oqlanganlar          | 2         
yamagami             | 2         
akkauntidan          | 2         
kore                 | 2         
dyubvad              | 2         
yeppe                | 2         
umumyevropa          | 2         
chiptalariga         | 2         
kommyunikesida       | 2         
nation               | 2         
gomesning            | 2         
ziddiyatidan         | 2         
qo'shiqchining       | 2         
izohlamadi           | 2         
atalganini           | 2         
sarqitlardan         | 2         
xodunok              | 2         
mushaklarini         | 2         
suyana               | 2         
sozlamalar           | 2         
so'yilgan            | 2         
nant                 | 2         
dominant             | 2         
lipomalar            | 2         
lipoma               | 2         
kimyoterapiyani      | 2         
kimyoterapiya        | 2         
yumiladi             | 2         
yorug'likdan         | 2         
tavsiyalarning       | 2         
himoyalovchi         | 2         
nurga                | 2         
rejalashtirganlar    | 2         
linzalarni           | 2         
mashqlardan          | 2         
xastaliklarning      | 2         
grippga              | 2         
yaqinlarimiz         | 2         
vagonli              | 2         
irakliy              | 2         
gariboshvili         | 2         
to'siqdir            | 2         
me'daga              | 2         
aziyatlanadigan      | 2         
lanj                 | 2         
ishtahani            | 2         
sovuqlik             | 2         
bo'shashtiradi       | 2         
tirnoqlarni          | 2         
tirnoqlarini         | 2         
yukxonasidagi        | 2         
muzlatgichda         | 2         
kabina               | 2         
wood                 | 2         
norovning            | 2         
bolamdan             | 2         
murtazoyev           | 2         
xurshida             | 2         
mo'minova            | 2         
xotirlaydi           | 2         
tug'ilgandi          | 2         
sog'inyapman         | 2         
prokuraturadan       | 2         
farzandimni          | 2         
sarpolar             | 2         
o'g'lidan            | 2         
mehriddin            | 2         
g'aybulloyev         | 2         
musibatni            | 2         
kelardik             | 2         
duoda                | 2         
narsalarning         | 2         
tobutlarda           | 2         
hisoblamayman        | 2         
qiziltepalik         | 2         
fojiadan             | 2         
uxlasam              | 2         
salohiddinov         | 2         
lvovga               | 2         
maslahatlashish      | 2         
nukusning            | 2         
shiorlarni           | 2         
yoshullilar          | 2         
tinchligini          | 2         
yuragimizda          | 2         
to'qnashuvlarni      | 2         
ustunlikdan          | 2         
tortilishini         | 2         
yig'iniga            | 2         
suhbatlashildi       | 2         
parlamentlarning     | 2         
jarov                | 2         
raqobatlashishi      | 2         
ismaloq              | 2         
mayiz                | 2         
sintezini            | 2         
galibaf              | 2         
grossining           | 2         
xatlon               | 2         
tojikistondan        | 2         
faollashuvi          | 2         
yo'naltiradi         | 2         
mevani               | 2         
shaftoli             | 2         
shaftolida           | 2         
ishlatar             | 2         
yarmigacha           | 2         
saglik               | 2         
bilimleri            | 2         
universitesi         | 2         
poliklinikaning      | 2         
qaytganiga           | 2         
yangilangani         | 2         
ulug'nor             | 2         
ajratilmagan         | 2         
fizioterapiya        | 2         
hushyorxona          | 2         
hushyorxonalar       | 2         
qoldirilganligi      | 2         
yashiringanligi      | 2         
hibsxonasi           | 2         
gilamdo'zlik         | 2         
kapitan              | 2         
furajkasini          | 2         
uddaburon            | 2         
hash                 | 2         
pash                 | 2         
deguncha             | 2         
opasiga              | 2         
sportchimiz          | 2         
shlanglar            | 2         
profnastil           | 2         
sotixlik             | 2         
paxtakorlik          | 2         
mensimasdan          | 2         
korizarab            | 2         
jahldan              | 2         
oqibatning           | 2         
otasiz               | 2         
yetmaganligi         | 2         
hamkasbim            | 2         
manfaatlarimiz       | 2         
to'xtaldik           | 2         
mongoliyada          | 2         
forumiga             | 2         
to'qnashadigan       | 2         
intilyapti           | 2         
qadriyatimiz         | 2         
bayrog'imizni        | 2         
o'xshatdi            | 2         
o'g'itlarning        | 2         
assambleyaning       | 2         
ports                | 2         
qo'yganimizdan       | 2         
rag'batlantirilmoqda | 2         
klasterlarining      | 2         
qo'shishdan          | 2         
orolbo'yiga          | 2         
qumni                | 2         
yelkadosh            | 2         
bashariyatning       | 2         
qilmaylik            | 2         
toliqish             | 2         
zaiflashgan          | 2         
ovqatda              | 2         
yog'siz              | 2         
indeksdagi           | 2         
pak                  | 2         
go'zalligini         | 2         
fantaziyasi          | 2         
nafisligi            | 2         
mikroqarz            | 2         
chiqaruvchilarini    | 2         
yaratishiga          | 2         
tejalishiga          | 2         
ko'lamining          | 2         
maslahatlashuvning   | 2         
uralovnani           | 2         
apparatida           | 2         
renewables           | 2         
poly                 | 2         
tushirishini         | 2         
qaratishicha         | 2         
avvalgiga            | 2         
tayanilsa            | 2         
nobudjet             | 2         
mahalliylashtirishni | 2         
korobkali            | 2         
bojlar               | 2         
chiqaryapmiz         | 2         
saflarini            | 2         
muzlagan             | 2         
ogohlantirishdi      | 2         
amaliyotdir          | 2         
iboratligi           | 2         
xersondagi           | 2         
armiyadagi           | 2         
qo'shinining         | 2         
platsdarm            | 2         
taktikasidan         | 2         
taktika              | 2         
erishilsa            | 2         
borguniga            | 2         
avdiyivkada          | 2         
qurshov              | 2         
shahardir            | 2         
izyum                | 2         
uzoqlashtirishga     | 2         
xromovo              | 2         
to'qnashadi          | 2         
rivojlantira         | 2         
konrad               | 2         
shimoldagi           | 2         
oshibdiki            | 2         
yashaganman          | 2         
turklar              | 2         
to'ylarimiz          | 2         
o'zbekistondagiday   | 2         
o'zbekni             | 2         
shug'ullanishadi     | 2         
oshi                 | 2         
xabarlashib          | 2         
bobom                | 2         
chori                | 2         
pokistonga           | 2         
pokistondan          | 2         
boqdi                | 2         
tug'ilgandek         | 2         
tutmog'i             | 2         
hatuno'g'li          | 2         
nurettin             | 2         
qobuldagi            | 2         
qal'ai               | 2         
otalarim             | 2         
olimov               | 2         
avlodlarining        | 2         
qolgunga             | 2         
shug'ullanardi       | 2         
xazinasining         | 2         
oltini               | 2         
supermarketlarga     | 2         
rejalashtirmoqdamiz  | 2         
kengayishni          | 2         
chiqqanligi          | 2         
chegirmalarga        | 2         
supermarketlarni     | 2         
carry                | 2         
distribyutorlar      | 2         
manbalarimizga       | 2         
onkolog              | 2         
moskvalik            | 2         
hamkorlikdan         | 2         
o'rganishadi         | 2         
farog'atda           | 2         
harakatdamiz         | 2         
beramizmi            | 2         
topyapti             | 2         
xususiylashgan       | 2         
jaraq                | 2         
undirilishiga        | 2         
chiqindining         | 2         
ekotizimining        | 2         
muhabbatini          | 2         
to'laganova          | 2         
soddalashtirilishi   | 2         
shartlardan          | 2         
qilishgacha          | 2         
plc                  | 2         
davomini             | 2         
subsidiyalarni       | 2         
fakturaga            | 2         
bilasanmi            | 2         
mtp                  | 2         
jo'natishdi          | 2         
takrorlanmasligiga   | 2         
qaytarishadi         | 2         
ko'rishiga           | 2         
yasha                | 2         
xoliqnazarov         | 2         
qarashlarda          | 2         
neytrallikni         | 2         
elektrni             | 2         
qo'shishmoqda        | 2         
cho'ntagini          | 2         
kresloda             | 2         
o'zginasi            | 2         
o'tirdi              | 2         
so'raganini          | 2         
turoperatorlari      | 2         
kurortlaridagi       | 2         
ko'rsatmasligiga     | 2         
joylashganiga        | 2         
murabbiyda           | 2         
galtye               | 2         
muzlash              | 2         
putindan             | 2         
devonxonasi          | 2         
kimmix               | 2         
sayyoraliklar        | 2         
koinotdan            | 2         
sovuqni              | 2         
buzishini            | 2         
plakatlarni          | 2         
dorin                | 2         
mustahkamlashi       | 2         
suhbatdoshlariga     | 2         
caesar               | 2         
istaklaridan         | 2         
portfelidagi         | 2         
chiro                | 2         
muxoliflarini        | 2         
tasarrufdagi         | 2         
ayoqshlarda          | 2         
ko'rikka             | 2         
vakolatxonalarini    | 2         
qo'shnisidan         | 2         
xidirova             | 2         
urushmagan           | 2         
nizolashishi         | 2         
aminmanki            | 2         
bolshevik            | 2         
ilgariroq            | 2         
nevralgiyada         | 2         
fuqarolikdan         | 2         
nilomer              | 2         
nilomerdan           | 2         
iordaniyaning        | 2         
nogironlikni         | 2         
olasanmi             | 2         
ovqatlanmaslik       | 2         
medvedchukning       | 2         
uord                 | 2         
yaylovlarda          | 2         
salobatli            | 2         
rahmonga             | 2         
oshpaz               | 2         
xohlamasligini       | 2         
ukalarim             | 2         
prezidentlarning     | 2         
uyqusizlik           | 2         
erimoqda             | 2         
tarozisini           | 2         
etmaydigan           | 2         
volgabo'yi           | 2         
muallimning          | 2         
onangni              | 2         
dardingni            | 2         
aytasan              | 2         
oreliya              | 2         
bushez               | 2         
solmoqchi            | 2         
yig'ishtirdi         | 2         
kirbining            | 2         
kontrhujumga         | 2         
ko'mish              | 2         
qalashib             | 2         
oqsilli              | 2         
tarafdagi            | 2         
pog'onasi            | 2         
mayib                | 2         
mrt                  | 2         
otangni              | 2         
oyog'ingiz           | 2         
uchiga               | 2         
idishni              | 2         
abbosov              | 2         
bakuda               | 2         
osmoncha             | 2         
vegasda              | 2         
prokuroriga          | 2         
cheklang             | 2         
o'tin                | 2         
ko'mirning           | 2         
noroziliklarni       | 2         
tobias               | 2         
chetlatdi            | 2         
qishloqlarini        | 2         
hasharlar            | 2         
smartfonlarini       | 2         
o'tganimda           | 2         
bezorilikka          | 2         
sxemasiga            | 2         
himoyasining         | 2         
lavozimidagi         | 2         
tasalli              | 2         
harakatlaringizni    | 2         
volkswagen           | 2         
tortmaydigan         | 2         
norqobil             | 2         
jalilovning          | 2         
nokerak              | 2         
bobidagi             | 2         
landshaft            | 2         
murodovning          | 2         
ufc'dagi             | 2         
muallifligidagi      | 2         
iliydi               | 2         
libosda              | 2         
pardalarning         | 2         
pardalar             | 2         
tokchasiga           | 2         
kasallikdir          | 2         
yadrolari            | 2         
pechene              | 2         
nechtasi             | 2         
svetoforsiz          | 2         
sindx                | 2         
murtazo              | 2         
vaxab                | 2         
siddiqiy             | 2         
politics             | 2         
pod'ezd              | 2         
andres               | 2         
lopes                | 2         
obrador              | 2         
metroni              | 2         
qurmanbek            | 2         
sooronbay            | 2         
jeenbekov            | 2         
atambayev            | 2         
talafotlari          | 2         
qadamjolarini        | 2         
pxenyan              | 2         
yangga               | 2         
g'oziantep           | 2         
qalblarni            | 2         
donorman             | 2         
obunasini            | 2         
itlarni              | 2         
o'g'ilga             | 2         
grivna               | 2         
novza                | 2         
vakillarning         | 2         
bannerlarini         | 2         
yig'adigan           | 2         
homiladorlikning     | 2         
estafeta             | 2         
sssrdan              | 2         
xududidagi           | 2         
yashashimni          | 2         
ilmira               | 2         
razikova             | 2         
allergiyadan         | 2         
kamharakatlilik      | 2         
kurashishiga         | 2         
preparatlari         | 2         
djonson              | 2         
allergiya            | 2         
konfederasiya        | 2         
kaskadi              | 2         
turkmandaryo         | 2         
chapqirg'oq          | 2         
gidrouzelining       | 2         
xonyop               | 2         
jumaboy              | 2         
soqa                 | 2         
qilichniyazboy       | 2         
stening              | 2         
ma'lumotnomasiga     | 2         
nu                   | 2         
qo'nishdan           | 2         
murojaatchini        | 2         
barra                | 2         
sabzavotlardan       | 2         
oshxonaning          | 2         
lazzatlari           | 2         
yerlaridagi          | 2         
retseptlarda         | 2         
sarguzashtiga        | 2         
ko'katlarga          | 2         
sog'lomlashasiz      | 2         
gullaridan           | 2         
o'xshagani           | 2         
qo'zi                | 2         
qulog'i              | 2         
sho'rvalar           | 2         
pishiriqlarda        | 2         
gulkaramni           | 2         
ildizlardan          | 2         
tikanlarga           | 2         
moyida               | 2         
qovurilishi          | 2         
bog'ning             | 2         
anisga               | 2         
butaga               | 2         
tangle               | 2         
o'tli                | 2         
gulidan              | 2         
turkegeyda           | 2         
qatiq                | 2         
aralashtirib         | 2         
quritib              | 2         
nomlanishiga         | 2         
tirnash              | 2         
teginganda           | 2         
o'tidir              | 2         
antioksidantlarga    | 2         
shamollashni         | 2         
santi                | 2         
hazillar             | 2         
kvartalining         | 2         
archalarining        | 2         
shikastlantirilganlik | 2         
archasining          | 2         
kvartalidagi         | 2         
ko'chatxona          | 2         
sovuqqonlik          | 2         
yondashishi          | 2         
karshi               | 2         
minutlar             | 2         
ulker                | 2         
erdo'g'onga          | 2         
to'xtatilishidan     | 2         
roligi               | 2         
tomoshabinlarimizdan | 2         
o'g'itlarini         | 2         
kayfiyatingiz        | 2         
homilani             | 2         
mashqi               | 2         
shug'ullansangiz     | 2         
zahotingiz           | 2         
shifokoringiz        | 2         
ushlaydi             | 2         
tug'ruqqa            | 2         
uyqusizlikdan        | 2         
koptok               | 2         
pilates              | 2         
qomatni              | 2         
tomirlarda           | 2         
bexatar              | 2         
do'pposlashgan       | 2         
ibo                  | 2         
ranjitib             | 2         
tashvishlantirmoqda  | 2         
tushmaganligi        | 2         
dilimizni            | 2         
yoshar               | 2         
shayxontoxur         | 2         
jorji                | 2         
melonining           | 2         
salomi               | 2         
ttyo                 | 2         
kasalni              | 2         
nikohdagi            | 2         
avariyaga            | 2         
enaxon               | 2         
to'lg'a              | 2         
o'ramidan            | 2         
avotomobil           | 2         
qo'zgatilib          | 2         
ipotekasi            | 2         
krozetto             | 2         
madhiyalari          | 2         
tadbirkorlarining    | 2         
qurolsizlanish       | 2         
xirosima             | 2         
o'ztemiryo'lyo'lovchi | 2         
chiptaxonalari       | 2         
chiptaxonalaridan    | 2         
neyroilmiy           | 2         
kfw                  | 2         
jihoz                | 2         
teleradiologiyani    | 2         
sanchiqli            | 2         
kuzatilayotgandir    | 2         
loxaslik             | 2         
tarqalganda          | 2         
bilinmay             | 2         
tarzidan             | 2         
lipidlar             | 2         
safining             | 2         
ulg'aygani           | 2         
ro'yobini            | 2         
fe'liga              | 2         
so'zlashni           | 2         
dili                 | 2         
to'qimachilk         | 2         
lof                  | 2         
reklamalarda         | 2         
foydalanilishini     | 2         
argumentlari         | 2         
jimjimador           | 2         
lofga                | 2         
bog'lanilganida      | 2         
maqtashadiki         | 2         
tiriladiganday       | 2         
ozuqaviy             | 2         
tolalar              | 2         
ajnabiy              | 2         
qo'yaturamiz         | 2         
xastaligi            | 2         
sirroz               | 2         
dollarlab            | 2         
sarflashmoqda        | 2         
reklamasining        | 2         
taassurotni          | 2         
uyg'otmasligi        | 2         
bfqning              | 2         
bo'lishayotganini    | 2         
aytganimizda         | 2         
yozaveringlar        | 2         
kapsulalar           | 2         
beraversa            | 2         
kapsulalari          | 2         
vositamizni          | 2         
nutritsiolog         | 2         
muhammadumar         | 2         
qilyapsizlar         | 2         
topishyapti          | 2         
dardni               | 2         
shifosini            | 2         
urinmaylik           | 2         
xotiningizni         | 2         
bilganlarini         | 2         
bo'g'im              | 2         
artrit               | 2         
artroz               | 2         
podagra              | 2         
bo'g'imlarda         | 2         
zaiflikda            | 2         
gijjalardan          | 2         
baridan              | 2         
reklamadagi          | 2         
ko'rsatmadik         | 2         
bfqchilardan         | 2         
aylanmasin           | 2         
gijjaga              | 2         
sotuvchilaridan      | 2         
jigardagi            | 2         
tekshiradigan        | 2         
organizmingizning    | 2         
hisoblashsa          | 2         
sergap               | 2         
maqtash              | 2         
bog'langanda         | 2         
soddadil             | 2         
turishsa             | 2         
do'ppi               | 2         
to'shagidan          | 2         
ihotalanishadi       | 2         
reklamalaridagi      | 2         
marketingga          | 2         
chigallashsa         | 2         
tashlamaslikda       | 2         
choriyevdan          | 2         
ishonavermasliklari  | 2         
maslahatlashgan      | 2         
davolanmaydi         | 2         
reklamalardagi       | 2         
shug'ullanishini     | 2         
aldanishga           | 2         
mahkummi             | 2         
tabiatan             | 2         
topilaveradi         | 2         
mushtoq              | 2         
tavof                | 2         
to'polon             | 2         
shahrixonlik         | 2         
xandon               | 2         
kosada               | 2         
piyolada             | 2         
kasalidan            | 2         
loyqa                | 2         
firibgarga           | 2         
ixlos                | 2         
tuflatgan            | 2         
soddalar             | 2         
qo'nadigan           | 2         
orbitasiga           | 2         
kiritilgandi         | 2         
ustunligiga          | 2         
inshootlardan        | 2         
aes                  | 2         
gaplashmoqchi        | 2         
jinpingni            | 2         
yomiuri              | 2         
shimbun              | 2         
qoralashdan          | 2         
tiyilgan             | 2         
qoralamagan          | 2         
sharhi               | 2         
bildirayotgandi      | 2         
korrespondenti       | 2         
uoterhaus            | 2         
safarlarni           | 2         
zelenskiyni          | 2         
cgtn                 | 2         
yubormagandi         | 2         
cctv                 | 2         
mentalitetidan       | 2         
do'pposlagani        | 2         
mushtumzo'r          | 2         
tasvirlanganini      | 2         
do'pposlashganini    | 2         
xulosalarini         | 2         
taqsimlovchilar      | 2         
taqdimnomalarga      | 2         
muolajaga            | 2         
kompensatsiyalar     | 2         
tomorqasidan         | 2         
avtohalokat          | 2         
bandlarida           | 2         
jartepa              | 2         
etmoq                | 2         
nomutaxassislar      | 2         
ketsayam             | 2         
talabalikda          | 2         
oyog'imga            | 2         
shug'ullanishimiz    | 2         
aeroportlari         | 2         
jakaning             | 2         
lyuis                | 2         
tryukni              | 2         
taktikadan           | 2         
kiritilayotganida    | 2         
pozitsiyalarida      | 2         
bosimidan            | 2         
o'zgartirgani        | 2         
ketaverdi            | 2         
het                  | 2         
remsdeyl             | 2         
aralashuvidan        | 2         
millimetrga          | 2         
muvozanatiga         | 2         
asablari             | 2         
mushtlashib          | 2         
koul                 | 2         
urishgan             | 2         
mavsumidan           | 2         
cho'kmoqda           | 2         
starti               | 2         
masofalardan         | 2         
odatiga              | 2         
assistentlari        | 2         
aylangach            | 2         
shotlandiyalik       | 2         
himoyachidagi        | 2         
yevrokubokka         | 2         
potterni             | 2         
zayavkasidan         | 2         
hujumchidan          | 2         
tashkillashtirib     | 2         
urmagan              | 2         
maqtana              | 2         
og'rig'idir          | 2         
davrasidagi          | 2         
daqiqalardan         | 2         
o'yingacha           | 2         
vlahovich            | 2         
dimarkoga            | 2         
mxitaryanning        | 2         
kandemir             | 2         
yoqilg'isini         | 2         
qatnashmasligini     | 2         
voh                  | 2         
tahdididan           | 2         
oshirilmasa          | 2         
xohlayotganimizni    | 2         
quvvatlamasa         | 2         
inshootini           | 2         
kamchiqim            | 2         
taalluqliligiga      | 2         
protestini           | 2         
erdanning            | 2         
chiqilishiga         | 2         
operatorlarga        | 2         
mind                 | 2         
transportdan         | 2         
obidovning           | 2         
fazalari             | 2         
rejimidagi           | 2         
koridorlarni         | 2         
ko'ringanidek        | 2         
chorrahalar          | 2         
litrgacha            | 2         
moslashganmi         | 2         
moslashmagan         | 2         
yhxbb                | 2         
quvvatlariga         | 2         
yo'laklarda          | 2         
sig'a                | 2         
o'tganimiz           | 2         
tirbandlikda         | 2         
choksiz              | 2         
koridorlarida        | 2         
chiqarmaydigan       | 2         
joylashadigan        | 2         
boraversa            | 2         
tashilishi           | 2         
mmb                  | 2         
denonsatsiya         | 2         
yutuqlarda           | 2         
talabining           | 2         
rudasi               | 2         
muruntov             | 2         
balpantau            | 2         
tomdibuloq           | 2         
makkubri             | 2         
birlikdan            | 2         
noaniqliklarni       | 2         
vohalaridan          | 2         
ofislar              | 2         
jamlanganligi        | 2         
topadilar            | 2         
yarmarkalarini       | 2         
ko'rgazmalarni       | 2         
mms                  | 2         
kemalarida           | 2         
kvile                | 2         
osloning             | 2         
teleradioeshittirish | 2         
yle                  | 2         
parakanoe            | 2         
atletlar             | 2         
erkinova             | 2         
finishga             | 2         
taniy                | 2         
kanoechi             | 2         
uyushtirdik          | 2         
o'rtoqlashsangiz     | 2         
san'atsevar          | 2         
boshbekov            | 2         
pyesasini            | 2         
mashhurlik           | 2         
martalab             | 2         
spektaklda           | 2         
davolandim           | 2         
oqarib               | 2         
aktyorlardan         | 2         
qoramag'iz           | 2         
rejalashtirilgandi   | 2         
so'rashib            | 2         
direktoridan         | 2         
farg'onaga           | 2         
tayyorlatib          | 2         
topganlari           | 2         
atilla               | 2         
gulan                | 2         
qarshidagi           | 2         
lirika               | 2         
event                | 2         
etishganini          | 2         
elbek                | 2         
chorasiz             | 2         
tqx                  | 2         
tashxislashga        | 2         
rmf                  | 2         
porox                | 2         
lubinets             | 2         
ukrainska            | 2         
o'zbekistonnikidan   | 2         
gvtni                | 2         
geotermal            | 2         
firmalardan          | 2         
limitidan            | 2         
yashaganimdan        | 2         
yo'qolishini         | 2         
ko'chdim             | 2         
tejashni             | 2         
uyimda               | 2         
faslning             | 2         
sovuqli              | 2         
foydalanmadim        | 2         
sharofatidan         | 2         
sentni               | 2         
yig'imlarning        | 2         
yevrostat            | 2         
yevrosentni          | 2         
stansiyalaridan      | 2         
inflatsiyaga         | 2         
stavkalarning        | 2         
yangilamoqda         | 2         
xavotirsiz           | 2         
yeida                | 2         
